change_id,change_type,submitted_date,implemented_date,status,risk_level,approval_days,training_required,training_complete_pct,verification_complete,follow_up_pending,ready_for_closure,cycle_days
CHG-0106,Training,2025-09-15,,In Progress,High,4,True,89,False,False,False,363.0
CHG-0107,Supplier,2026-02-22,2026-03-24,Closed,Medium,13,True,100,True,False,True,30.0
CHG-0108,Equipment,2026-02-01,2026-03-01,Closed,Medium,4,True,100,True,False,True,28.0
CHG-0109,Equipment,2026-05-28,2026-07-13,Closed,Medium,14,True,100,True,False,True,46.0
CHG-0110,Process,2026-06-27,2026-07-14,Closed,Medium,9,False,100,True,False,True,17.0
CHG-0111,Document,2026-07-14,,In Progress,Low,13,False,100,False,False,False,61.0
CHG-0112,Document,2026-06-24,2026-07-25,Implemented,Medium,10,True,89,True,True,False,31.0
CHG-0113,Document,2026-07-04,,In Progress,Medium,5,False,100,False,False,False,71.0
CHG-0114,Document,2025-12-15,2026-01-17,Closed,High,10,True,100,True,False,True,33.0
CHG-0115,Supplier,2026-08-23,2026-09-13,Closed,Medium,5,False,100,True,False,True,21.0
CHG-0116,Process,2026-01-27,,In Progress,Medium,3,False,100,False,False,False,229.0
CHG-0117,Equipment,2025-10-02,2025-11-11,Closed,High,5,True,100,True,False,True,40.0
CHG-0118,ERP / Software,2025-12-08,2026-01-01,Implemented,Medium,5,False,100,False,True,False,24.0
CHG-0119,ERP / Software,2026-04-19,,In Progress,Low,3,False,100,False,False,False,147.0
CHG-0120,Document,2026-08-23,,In Progress,Low,2,False,100,False,False,False,21.0
