capa_id,source,opened_date,due_date,completion_date,status,risk_level,effectiveness_result,overdue,cycle_days
CAPA-0037,Audit,2025-11-27,2026-02-05,2026-01-29,Closed,Low,Ineffective,False,63.0
CAPA-0038,Investigation,2026-07-23,2026-09-10,2026-08-25,Closed,Low,Effective,False,33.0
CAPA-0039,Investigation,2026-04-12,2026-06-23,2026-05-22,Closed,Low,Effective,False,40.0
CAPA-0040,Investigation,2026-06-07,2026-08-14,2026-08-08,Closed,Low,Effective,False,62.0
CAPA-0041,Complaint,2025-12-29,2026-02-26,2026-02-16,Closed,Low,Effective,False,49.0
CAPA-0042,Trend,2026-02-04,2026-03-30,2026-04-17,Closed,Medium,Effective,False,72.0
CAPA-0043,Trend,2025-12-29,2026-03-18,2026-01-24,Closed,High,Effective,False,26.0
CAPA-0044,Investigation,2026-06-18,2026-08-10,2026-07-10,Closed,Medium,Effective,False,22.0
CAPA-0045,Investigation,2025-12-08,2026-02-23,2026-03-18,Closed,Medium,Effective,False,100.0
CAPA-0046,Trend,2025-10-21,2026-01-04,2025-11-24,Closed,Low,Effective,False,34.0
CAPA-0047,Complaint,2026-03-27,2026-05-19,2026-06-25,Closed,High,Pending,False,90.0
CAPA-0048,Investigation,2025-10-30,2026-01-23,2025-12-25,Closed,Medium,Effective,False,56.0
CAPA-0049,Investigation,2026-06-10,2026-08-15,2026-08-18,Closed,High,Effective,False,69.0
CAPA-0050,Audit,2026-09-08,2026-11-18,,Open,High,Pending,False,5.0
CAPA-0051,Complaint,2025-12-30,2026-03-10,2026-02-19,Closed,Medium,Effective,False,51.0
CAPA-0052,Audit,2025-12-06,2026-02-10,2025-12-28,Closed,Low,Effective,False,22.0
CAPA-0053,Investigation,2025-11-07,2026-01-18,2025-12-27,Closed,Low,Effective,False,50.0
CAPA-0054,Audit,2026-03-16,2026-05-13,2026-05-08,Closed,Medium,Effective,False,53.0
CAPA-0055,Complaint,2026-07-05,2026-09-26,2026-08-11,Closed,High,Effective,False,37.0
CAPA-0056,Investigation,2026-02-22,2026-05-12,2026-04-04,Closed,Medium,Effective,False,41.0
CAPA-0057,Investigation,2026-06-18,2026-08-16,2026-08-07,Closed,Medium,Effective,False,50.0
CAPA-0058,Complaint,2026-02-21,2026-05-15,2026-03-18,Closed,Medium,Effective,False,25.0
CAPA-0059,Complaint,2026-08-15,2026-11-09,,Open,Low,Pending,False,29.0
CAPA-0060,Complaint,2025-12-22,2026-03-06,2026-03-15,Closed,Medium,Pending,False,83.0
CAPA-0061,Investigation,2026-06-15,2026-08-03,2026-08-07,Closed,Medium,Effective,False,53.0
CAPA-0062,Complaint,2026-07-03,2026-08-19,,Open,Medium,Pending,True,72.0
CAPA-0063,Supplier,2026-04-28,2026-06-21,2026-06-25,Closed,Medium,Effective,False,58.0
CAPA-0064,Investigation,2026-02-15,2026-04-14,2026-05-01,Closed,Low,Effective,False,75.0
CAPA-0065,Trend,2025-11-18,2026-01-06,2026-01-10,Closed,Medium,Effective,False,53.0
CAPA-0066,Supplier,2026-06-05,2026-08-12,2026-07-09,Closed,Low,Effective,False,34.0
CAPA-0067,Complaint,2026-01-27,2026-04-21,2026-03-02,Closed,High,Effective,False,34.0
CAPA-0068,Audit,2026-05-03,2026-06-28,2026-05-27,Closed,Low,Effective,False,24.0
CAPA-0069,Trend,2026-08-01,2026-10-13,,Open,Low,Pending,False,43.0
CAPA-0070,Audit,2026-08-07,2026-10-31,,Open,Medium,Pending,False,37.0
CAPA-0071,Investigation,2026-07-26,2026-10-21,2026-09-04,Closed,Medium,Effective,False,40.0
CAPA-0072,Investigation,2026-07-06,2026-08-22,2026-07-31,Closed,Medium,Effective,False,25.0
CAPA-0073,Complaint,2026-04-08,2026-05-28,2026-05-14,Closed,Medium,Effective,False,36.0
CAPA-0074,Investigation,2025-11-29,2026-01-17,2026-02-23,Closed,High,Effective,False,86.0
CAPA-0075,Supplier,2026-06-24,2026-09-22,2026-08-10,Closed,Medium,Effective,False,47.0
CAPA-0076,Supplier,2026-09-07,2026-11-12,,Open,Medium,Pending,False,6.0
CAPA-0077,Complaint,2025-11-01,2025-12-19,2026-01-06,Closed,Medium,Ineffective,False,66.0
CAPA-0078,Audit,2025-11-08,2025-12-30,2026-01-31,Closed,Low,Effective,False,84.0
CAPA-0079,Investigation,2026-07-30,2026-09-26,,Open,Medium,Pending,False,45.0
CAPA-0080,Supplier,2025-10-26,2026-01-22,2025-12-15,Closed,Low,Effective,False,50.0
CAPA-0081,Complaint,2025-12-16,2026-02-25,2026-02-12,Closed,Medium,Effective,False,58.0
CAPA-0082,Supplier,2026-06-28,2026-08-21,2026-07-29,Closed,Low,Effective,False,31.0
CAPA-0083,Trend,2025-12-15,2026-03-09,2026-01-06,Closed,High,Effective,False,22.0
CAPA-0084,Complaint,2026-02-14,2026-04-30,2026-04-08,Closed,Medium,Effective,False,53.0
CAPA-0085,Complaint,2025-12-15,2026-02-27,2026-02-03,Closed,High,Pending,False,50.0
CAPA-0086,Trend,2026-08-02,2026-10-21,,Open,Medium,Pending,False,42.0
CAPA-0087,Complaint,2026-05-01,2026-06-27,2026-06-26,Closed,Low,Effective,False,56.0
CAPA-0088,Investigation,2026-08-28,2026-11-11,,Open,High,Pending,False,16.0
CAPA-0089,Supplier,2026-08-24,2026-10-22,,Open,Medium,Pending,False,20.0
CAPA-0090,Investigation,2025-10-26,2025-12-25,2025-11-20,Closed,Medium,Effective,False,25.0
CAPA-0091,Investigation,2026-04-16,2026-06-14,2026-05-19,Closed,Medium,Effective,False,33.0
CAPA-0092,Investigation,2025-10-27,2025-12-28,2026-01-24,Closed,Medium,Effective,False,89.0
CAPA-0093,Complaint,2026-06-03,2026-08-21,2026-08-23,Closed,High,Effective,False,81.0
CAPA-0094,Supplier,2026-03-04,2026-05-26,2026-06-10,Closed,Medium,Effective,False,98.0
CAPA-0095,Investigation,2026-08-01,2026-10-30,,Open,Medium,Pending,False,43.0
