event_id,event_type,process_area,opened_date,closed_date,status,severity,root_cause_category,target_days,age_days,overdue,high_risk
QE-0076,Investigation,CAPA,2026-01-28,2026-04-24,Closed,Critical,Procedure,15,86,False,True
QE-0077,Complaint,QMS Metrics,2026-04-05,2026-04-22,Closed,Low,Training,60,17,False,False
QE-0078,Investigation,Document Control,2026-06-06,,Open,High,Data / Documentation,30,99,True,True
QE-0079,Investigation,Investigation / RCA,2026-09-08,,Open,Medium,Training,45,5,False,False
QE-0080,Investigation,Investigation / RCA,2026-06-24,2026-09-02,Closed,Low,Equipment,60,70,False,False
QE-0081,Complaint,Investigation / RCA,2026-01-23,2026-02-14,Closed,Medium,Data / Documentation,45,22,False,False
QE-0082,Investigation,Change Management,2026-01-11,2026-02-21,Closed,Medium,Equipment,45,41,False,False
QE-0083,Investigation,Supplier Quality,2026-08-03,2026-08-25,Closed,Low,Supplier,60,22,False,False
QE-0084,Investigation,Investigation / RCA,2026-06-21,2026-07-17,Closed,Medium,Data / Documentation,45,26,False,False
QE-0085,Complaint,CAPA,2026-09-07,,Open,High,Supplier,30,6,False,True
QE-0086,Complaint,Document Control,2025-11-03,2025-12-28,Closed,Medium,Data / Documentation,45,55,False,False
QE-0087,Investigation,Complaint Handling,2025-10-26,2026-01-03,Closed,Medium,Supplier,45,69,False,False
QE-0088,Complaint,Change Management,2026-04-29,2026-06-19,Closed,Medium,Training,45,51,False,False
QE-0089,Complaint,Supplier Quality,2026-02-22,2026-04-30,Closed,Medium,Data / Documentation,45,67,False,False
QE-0090,Investigation,Complaint Handling,2026-05-31,2026-07-04,Closed,High,Data / Documentation,30,34,False,True
QE-0091,Investigation,Complaint Handling,2026-06-01,2026-07-02,Closed,High,Procedure,30,31,False,True
QE-0092,Investigation,Complaint Handling,2026-06-30,2026-07-09,Closed,Low,Training,60,9,False,False
QE-0093,Complaint,Document Control,2026-05-20,,Open,Critical,Supplier,15,116,True,True
QE-0094,Investigation,Complaint Handling,2026-08-23,2026-09-10,Closed,High,Process Design,30,18,False,True
QE-0095,Complaint,Investigation / RCA,2026-09-01,,Open,Medium,Procedure,45,12,False,False
QE-0096,Investigation,Complaint Handling,2026-03-08,2026-04-21,Closed,High,Training,30,44,False,True
QE-0097,Investigation,Complaint Handling,2026-02-22,2026-04-03,Closed,Low,Procedure,60,40,False,False
QE-0098,Complaint,Supplier Quality,2026-02-20,2026-05-07,Closed,Critical,Procedure,15,76,False,True
QE-0099,Complaint,Investigation / RCA,2026-03-27,2026-05-03,Closed,Medium,Supplier,45,37,False,False
QE-0100,Complaint,Change Management,2026-07-10,2026-08-07,Closed,Medium,Training,45,28,False,False
QE-0101,Investigation,Change Management,2026-07-12,2026-07-29,Closed,Low,Training,60,17,False,False
QE-0102,Investigation,Document Control,2025-09-29,2025-10-13,Closed,High,Data / Documentation,30,14,False,True
QE-0103,Investigation,Complaint Handling,2026-03-11,2026-05-27,Closed,Low,Procedure,60,77,False,False
QE-0104,Investigation,Document Control,2025-09-29,2025-10-18,Closed,Low,Training,60,19,False,False
QE-0105,Investigation,Supplier Quality,2026-06-29,2026-08-01,Closed,Low,Process Design,60,33,False,False
QE-0106,Investigation,Complaint Handling,2026-02-14,2026-05-12,Closed,High,Process Design,30,87,False,True
QE-0107,Complaint,QMS Metrics,2026-06-14,2026-07-04,Closed,Low,Material,60,20,False,False
QE-0108,Complaint,Document Control,2026-05-29,2026-08-17,Closed,High,Process Design,30,80,False,True
QE-0109,Investigation,Investigation / RCA,2026-09-11,,Open,Medium,Data / Documentation,45,2,False,False
QE-0110,Investigation,Document Control,2026-07-01,2026-09-08,Closed,Low,Equipment,60,69,False,False
QE-0111,Complaint,Change Management,2026-08-24,2026-09-04,Closed,Low,Supplier,60,11,False,False
QE-0112,Investigation,Supplier Quality,2025-10-12,2025-12-09,Closed,Low,Process Design,60,58,False,False
QE-0113,Investigation,Risk Assessment,2026-08-05,,Open,Medium,Material,45,39,False,False
QE-0114,Investigation,CAPA,2026-04-08,2026-05-29,Closed,High,Equipment,30,51,False,True
QE-0115,Investigation,QMS Metrics,2026-08-22,,Open,Low,Supplier,60,22,False,False
QE-0116,Complaint,Investigation / RCA,2025-11-07,2026-02-05,Closed,High,Procedure,30,90,False,True
QE-0117,Complaint,QMS Metrics,2026-07-06,2026-09-02,Closed,Low,Process Design,60,58,False,False
QE-0118,Complaint,Supplier Quality,2025-11-15,2026-01-23,Closed,High,Training,30,69,False,True
QE-0119,Investigation,Investigation / RCA,2026-04-18,2026-06-03,Closed,High,Data / Documentation,30,46,False,True
QE-0120,Investigation,CAPA,2025-11-07,2025-11-26,Closed,High,Process Design,30,19,False,True
QE-0121,Investigation,Investigation / RCA,2025-11-11,2026-02-03,Closed,Medium,Material,45,84,False,False
QE-0122,Complaint,Complaint Handling,2026-01-01,2026-02-05,Closed,High,Material,30,35,False,True
QE-0123,Complaint,Complaint Handling,2026-02-12,2026-02-23,Closed,Low,Training,60,11,False,False
QE-0124,Investigation,CAPA,2025-10-06,2025-11-10,Closed,Low,Process Design,60,35,False,False
QE-0125,Investigation,Complaint Handling,2026-08-05,2026-09-07,Closed,Low,Process Design,60,33,False,False
QE-0126,Complaint,Complaint Handling,2026-01-09,2026-03-09,Closed,Medium,Training,45,59,False,False
QE-0127,Complaint,QMS Metrics,2026-08-06,2026-09-06,Closed,High,Procedure,30,31,False,True
QE-0128,Investigation,Supplier Quality,2026-01-16,2026-03-30,Closed,Medium,Procedure,45,73,False,False
QE-0129,Complaint,QMS Metrics,2025-11-11,2025-12-05,Closed,High,Equipment,30,24,False,True
QE-0130,Investigation,Investigation / RCA,2026-06-22,,Open,Low,Data / Documentation,60,83,True,False
QE-0131,Complaint,Document Control,2026-03-26,2026-04-26,Closed,High,Material,30,31,False,True
QE-0132,Complaint,Change Management,2026-01-15,2026-03-26,Closed,Low,Data / Documentation,60,70,False,False
QE-0133,Investigation,Complaint Handling,2026-08-03,,Open,Medium,Material,45,41,False,False
QE-0134,Complaint,Complaint Handling,2026-05-19,2026-06-18,Closed,High,Training,30,30,False,True
QE-0135,Complaint,Supplier Quality,2025-10-25,2025-11-06,Closed,Critical,Equipment,15,12,False,True
QE-0136,Complaint,Complaint Handling,2026-08-12,,Open,Medium,Procedure,45,32,False,False
QE-0137,Complaint,Change Management,2026-07-11,2026-08-12,Closed,Low,Data / Documentation,60,32,False,False
QE-0138,Complaint,Risk Assessment,2026-09-06,,Open,Medium,Equipment,45,7,False,False
QE-0139,Complaint,Complaint Handling,2026-03-06,2026-04-15,Closed,Low,Supplier,60,40,False,False
QE-0140,Complaint,Complaint Handling,2026-06-13,,Open,High,Equipment,30,92,True,True
QE-0141,Complaint,Risk Assessment,2026-05-06,2026-06-16,Closed,High,Procedure,30,41,False,True
QE-0142,Investigation,Change Management,2025-12-16,2026-02-21,Closed,Low,Training,60,67,False,False
QE-0143,Investigation,Complaint Handling,2026-08-25,,Open,Low,Procedure,60,19,False,False
QE-0144,Complaint,Document Control,2026-01-09,2026-03-07,Closed,Low,Procedure,60,57,False,False
QE-0145,Complaint,Document Control,2026-07-30,2026-08-24,Closed,Critical,Process Design,15,25,False,True
QE-0146,Investigation,Change Management,2026-06-22,,Open,Medium,Process Design,45,83,True,False
QE-0147,Investigation,Supplier Quality,2026-04-28,2026-06-20,Closed,High,Equipment,30,53,False,True
QE-0148,Investigation,Investigation / RCA,2026-09-05,,Open,Medium,Supplier,45,8,False,False
QE-0149,Complaint,Complaint Handling,2025-09-17,2025-12-04,Closed,Medium,Process Design,45,78,False,False
QE-0150,Complaint,Change Management,2026-02-04,2026-02-14,Closed,Low,Equipment,60,10,False,False
QE-0151,Complaint,Investigation / RCA,2025-09-17,2025-10-31,Closed,Critical,Procedure,15,44,False,True
QE-0152,Complaint,Supplier Quality,2026-05-16,2026-08-05,Closed,Medium,Procedure,45,81,False,False
QE-0153,Investigation,Document Control,2025-12-09,2026-02-16,Closed,Medium,Process Design,45,69,False,False
QE-0154,Complaint,Complaint Handling,2026-05-20,2026-08-18,Closed,Medium,Supplier,45,90,False,False
QE-0155,Complaint,Change Management,2026-03-21,2026-05-11,Closed,Medium,Procedure,45,51,False,False
QE-0156,Complaint,Investigation / RCA,2026-09-06,,Open,Critical,Data / Documentation,15,7,False,True
QE-0157,Investigation,Document Control,2026-05-12,2026-06-18,Closed,Low,Process Design,60,37,False,False
QE-0158,Complaint,Investigation / RCA,2025-10-01,2025-12-07,Closed,Medium,Procedure,45,67,False,False
QE-0159,Investigation,Supplier Quality,2026-04-20,2026-06-27,Closed,Medium,Training,45,68,False,False
QE-0160,Complaint,Change Management,2025-12-12,2026-01-21,Closed,Medium,Supplier,45,40,False,False
QE-0161,Investigation,CAPA,2026-04-07,2026-06-28,Closed,Low,Process Design,60,82,False,False
QE-0162,Complaint,Supplier Quality,2026-02-11,2026-03-02,Closed,Low,Procedure,60,19,False,False
QE-0163,Investigation,QMS Metrics,2025-12-18,2026-02-12,Closed,Medium,Supplier,45,56,False,False
QE-0164,Investigation,Change Management,2026-03-01,2026-05-07,Closed,Medium,Training,45,67,False,False
QE-0165,Investigation,QMS Metrics,2025-10-15,2025-11-18,Closed,Medium,Supplier,45,34,False,False
QE-0166,Investigation,Risk Assessment,2026-08-27,,Open,Medium,Training,45,17,False,False
QE-0167,Investigation,CAPA,2026-04-07,2026-05-12,Closed,Medium,Data / Documentation,45,35,False,False
QE-0168,Investigation,Change Management,2025-12-27,2026-02-06,Closed,Medium,Training,45,41,False,False
QE-0169,Investigation,Complaint Handling,2026-03-17,2026-04-29,Closed,Medium,Training,45,43,False,False
QE-0170,Complaint,QMS Metrics,2026-05-27,2026-06-13,Closed,Low,Supplier,60,17,False,False
QE-0171,Investigation,Change Management,2026-08-31,,Open,Medium,Procedure,45,13,False,False
QE-0172,Investigation,CAPA,2026-01-06,2026-01-24,Closed,Medium,Procedure,45,18,False,False
QE-0173,Investigation,Complaint Handling,2026-01-10,2026-03-19,Closed,Low,Training,60,68,False,False
QE-0174,Investigation,Document Control,2026-01-07,2026-02-08,Closed,Medium,Process Design,45,32,False,False
QE-0175,Complaint,CAPA,2026-09-12,,Open,Medium,Equipment,45,1,False,False
QE-0176,Investigation,Supplier Quality,2025-11-19,2025-12-12,Closed,Low,Material,60,23,False,False
QE-0177,Complaint,Complaint Handling,2026-05-20,,Open,Medium,Training,45,116,True,False
QE-0178,Complaint,Risk Assessment,2025-10-31,2026-01-09,Closed,Medium,Training,45,70,False,False
QE-0179,Investigation,Complaint Handling,2026-05-31,2026-08-22,Closed,High,Procedure,30,83,False,True
QE-0180,Complaint,Investigation / RCA,2026-01-05,2026-01-26,Closed,Medium,Data / Documentation,45,21,False,False
